order,section,capability,method,status,sources,last_reviewed,notes
"519","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field ideal arithmetic","ideals_of_bdd_norm","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_ideals_of_bdd_norm_contains_unit_ideal_at_norm_one","2026-02-15",""
"520","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field ideal arithmetic","decomposition_type","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_decomposition_type_ramification_identity_for_11","2026-02-15",""
"521","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field ideal arithmetic","residue_field","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_residue_field_size_matches_prime_norm","2026-02-15",""
"522","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field ideal arithmetic","uniformizer","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_uniformizer_has_positive_valuation_at_prime","2026-02-15",""
"523","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field ideal arithmetic","valuation","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_valuation_of_uniformizer_is_one","2026-02-15",""
"524","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field ideal arithmetic","idealchinese","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_idealchinese_satisfies_two_congruences","2026-02-15",""
"525","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field ideal arithmetic","solve_CRT","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_solve_crt_satisfies_congruences","2026-02-15",""
"526","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field ideal arithmetic","elements_of_norm","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_elements_of_norm_contains_one","2026-02-15",""
"527","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Principal ideal factorization in $\mathcal O_K$","factor","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_factor_ideal_norm_matches_integer_norm","2026-02-15",""
"528","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field class groups and units","class_group","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_class_group_order_matches_class_number","2026-02-15",""
"529","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field class groups and units","class_number","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_class_number_for_qsqrt5_is_one","2026-02-15",""
"530","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field class groups and units","narrow_class_group","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_narrow_class_group_is_trivial_for_qsqrt5","2026-02-15",""
"531","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field class groups and units","S_class_group","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_s_class_group_empty_set_matches_class_group_order","2026-02-15",""
"532","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field class groups and units","unit_group","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_unit_group_rank_matches_dirichlet_for_signature","2026-02-15",""
"533","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field class groups and units","units","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_units_generate_nontrivial_free_part","2026-02-15",""
"534","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field class groups and units","S_units","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_s_units_empty_set_contains_fundamental_unit","2026-02-15",""
"535","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field class groups and units","S_unit_group","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_s_unit_group_empty_set_rank_matches_unit_group","2026-02-15",""
"536","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field class groups and units","S_unit_solutions","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_s_unit_solutions_contains_classical_solution","2026-02-15",""
"537","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field class groups and units","regulator","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_regulator_positive_for_real_quadratic","2026-02-15",""
"538","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field class groups and units","roots_of_unity","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_roots_of_unity_matches_count","2026-02-15",""
"539","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field class groups and units","number_of_roots_of_unity","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_number_of_roots_of_unity_is_two","2026-02-15",""
"540","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field class groups and units","primitive_root_of_unity","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_primitive_root_of_unity_has_zeta_order","2026-02-15",""
"541","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field class groups and units","zeta","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_zeta_is_root_of_unity","2026-02-15",""
"542","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field class groups and units","zeta_order","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_zeta_order_equals_number_of_roots_of_unity","2026-02-15",""
"543","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field class groups and units","zeta_coefficients","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_zeta_coefficients_nonzero_constant_term","2026-02-15",""
"544","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field discriminant/different/conductor algorithms","different","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_different_norm_matches_discriminant_absolute_value","2026-02-15",""
"545","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field discriminant/different/conductor algorithms","absolute_different","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_absolute_different_equals_different","2026-02-15",""
"546","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field discriminant/different/conductor algorithms","relative_different","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_relative_different_equals_different_over_q","2026-02-15",""
"547","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field discriminant/different/conductor algorithms","conductor","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_conductor_for_fundamental_discriminant_field","2026-02-15",""
"548","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field discriminant/different/conductor algorithms","order_of_conductor","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_order_of_conductor_has_requested_conductor","2026-02-15",""
"549","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field discriminant/different/conductor algorithms","quadratic_defect","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_quadratic_defect_of_one_is_infinite","2026-02-15",""
"550","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field discriminant/different/conductor algorithms","hilbert_symbol","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_hilbert_symbol_is_pm_one_for_nonzero_inputs","2026-02-15",""
"551","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field discriminant/different/conductor algorithms","hilbert_symbol_negative_at_S","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_hilbert_symbol_negative_at_s_realizes_requested_negative_set","2026-02-15",""
"552","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field ideal-class bounds","bach_bound","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_bach_bound_is_positive","2026-02-15",""
"553","Rings of integers $\mathcal{O}_K$ and ideal arithmetic","Number field ideal-class bounds","minkowski_bound","done","sage_doc/test_numberfield_bridge_static.py::test_numberfield_minkowski_bound_positive","2026-02-15",""
"554","QuadSpaceWithIsom (§2.13)","QuadSpaceWithIsom construction","quadratic_space_with_isometry","done","julia_doc/test_quadspace_with_isom.jl::""quadratic_space_with_isometry: pair space with identity""","2026-02-15","identity and negation constructors"
"555","QuadSpaceWithIsom (§2.13)","QuadSpaceWithIsom accessors","space","done","julia_doc/test_quadspace_with_isom.jl::""space: extract space from QuadSpaceWithIsom""","2026-02-15",""
"556","QuadSpaceWithIsom (§2.13)","QuadSpaceWithIsom accessors","isometry","done","julia_doc/test_quadspace_with_isom.jl::""isometry: extract isometry matrix""","2026-02-15",""
"557","QuadSpaceWithIsom (§2.13)","QuadSpaceWithIsom accessors","order_of_isometry","done","julia_doc/test_quadspace_with_isom.jl::""order_of_isometry: QuadSpaceWithIsom""","2026-02-15",""
"558","QuadSpaceWithIsom (§2.13)","QuadSpaceWithIsom attributes","dim","done","julia_doc/test_quadspace_with_isom.jl::""dim/rank: through QuadSpaceWithIsom""","2026-02-15",""
"559","QuadSpaceWithIsom (§2.13)","QuadSpaceWithIsom attributes","rank","done","julia_doc/test_quadspace_with_isom.jl::""dim/rank: through QuadSpaceWithIsom""","2026-02-15",""
"560","QuadSpaceWithIsom (§2.13)","QuadSpaceWithIsom attributes","gram_matrix","done","julia_doc/test_quadspace_with_isom.jl::""gram_matrix/det/discriminant: QuadSpaceWithIsom""","2026-02-15",""
"561","QuadSpaceWithIsom (§2.13)","QuadSpaceWithIsom attributes","det","done","julia_doc/test_quadspace_with_isom.jl::""gram_matrix/det/discriminant: QuadSpaceWithIsom""","2026-02-15",""
"562","QuadSpaceWithIsom (§2.13)","QuadSpaceWithIsom attributes","discriminant","done","julia_doc/test_quadspace_with_isom.jl::""gram_matrix/det/discriminant: QuadSpaceWithIsom""","2026-02-15",""
"563","QuadSpaceWithIsom (§2.13)","QuadSpaceWithIsom attributes","diagonal","done","julia_doc/test_quadspace_with_isom.jl::""diagonal/signature_tuple: positive definite space""","2026-02-15",""
"564","QuadSpaceWithIsom (§2.13)","QuadSpaceWithIsom attributes","signature_tuple","done","julia_doc/test_quadspace_with_isom.jl::""diagonal/signature_tuple: positive definite space""","2026-02-15",""
"565","QuadSpaceWithIsom (§2.13)","QuadSpaceWithIsom definiteness","is_definite","done","julia_doc/test_quadspace_with_isom.jl::""is_definite/is_positive_definite/is_negative_definite: QuadSpaceWithIsom""","2026-02-15",""
"566","QuadSpaceWithIsom (§2.13)","QuadSpaceWithIsom definiteness","is_positive_definite","done","julia_doc/test_quadspace_with_isom.jl::""is_definite/is_positive_definite/is_negative_definite: QuadSpaceWithIsom""","2026-02-15",""
"567","QuadSpaceWithIsom (§2.13)","QuadSpaceWithIsom definiteness","is_negative_definite","done","julia_doc/test_quadspace_with_isom.jl::""is_definite/is_positive_definite/is_negative_definite: QuadSpaceWithIsom""","2026-02-15",""
"568","QuadSpaceWithIsom (§2.13)","QuadSpaceWithIsom polynomials","characteristic_polynomial","done","julia_doc/test_quadspace_with_isom.jl::""characteristic_polynomial: QuadSpaceWithIsom""","2026-02-15",""
"569","QuadSpaceWithIsom (§2.13)","QuadSpaceWithIsom polynomials","minimal_polynomial","done","julia_doc/test_quadspace_with_isom.jl::""minimal_polynomial: QuadSpaceWithIsom""","2026-02-15",""
"570","QuadSpaceWithIsom (§2.13)","QuadSpaceWithIsom operations","^","done","julia_doc/test_quadspace_with_isom.jl::""^: raise QuadSpaceWithIsom isometry to power""","2026-02-15",""
"571","QuadSpaceWithIsom (§2.13)","QuadSpaceWithIsom operations","direct_sum","done","julia_doc/test_quadspace_with_isom.jl::""direct_sum: equivariant direct sum of QuadSpaceWithIsom""","2026-02-15",""
"572","QuadSpaceWithIsom (§2.13)","QuadSpaceWithIsom operations","rescale","done","julia_doc/test_quadspace_with_isom.jl::""rescale: det scales by a^dim""","2026-02-15",""
"573","QuadSpaceWithIsom (§2.13)","QuadSpaceWithIsom spinor norm","rational_spinor_norm","done","julia_doc/test_quadspace_with_isom.jl::""rational_spinor_norm: returns QQFieldElem""","2026-02-15",""
"574","ZZLatWithIsom (§2.14)","ZZLatWithIsom accessors","ambient_isometry","done","julia_doc/test_zzlat_with_isom.jl::""ambient_isometry: isometry on ambient space preserves Gram""","2026-02-15",""
"575","ZZLatWithIsom (§2.14)","ZZLatWithIsom accessors","ambient_space","done","julia_doc/test_zzlat_with_isom.jl::""ambient_space: returns QuadSpaceWithIsom""","2026-02-15",""
"576","ZZLatWithIsom (§2.14)","ZZLatWithIsom accessors","lattice_in_same_ambient_space","done","julia_doc/test_zzlat_with_isom.jl::""lattice_in_same_ambient_space: sublattice shares ambient isometry""","2026-02-15",""
"577","ZZLatWithIsom (§2.14)","ZZLatWithIsom accessors","rational_span","done","julia_doc/test_zzlat_with_isom.jl::""rational_span: returns QuadSpaceWithIsom""","2026-02-15",""
"578","ZZLatWithIsom (§2.14)","ZZLatWithIsom accessors","basis_matrix","done","julia_doc/test_zzlat_with_isom.jl::""basis_matrix: matches underlying lattice""","2026-02-15",""
"579","ZZLatWithIsom (§2.14)","ZZLatWithIsom accessors","==","done","julia_doc/test_zzlat_with_isom.jl::""==: equality of ZZLatWithIsom""","2026-02-15",""
"580","ZZLatWithIsom (§2.14)","ZZLatWithIsom delegated attributes","rank","done","julia_doc/test_zzlat_with_isom.jl::""rank/degree: delegated to underlying lattice""","2026-02-15",""
"581","ZZLatWithIsom (§2.14)","ZZLatWithIsom delegated attributes","degree","done","julia_doc/test_zzlat_with_isom.jl::""rank/degree: delegated to underlying lattice""","2026-02-15",""
"582","ZZLatWithIsom (§2.14)","ZZLatWithIsom delegated attributes","det","done","julia_doc/test_zzlat_with_isom.jl::""det/discriminant: A2 lattice""","2026-02-15",""
"583","ZZLatWithIsom (§2.14)","ZZLatWithIsom delegated attributes","discriminant","done","julia_doc/test_zzlat_with_isom.jl::""det/discriminant: A2 lattice""","2026-02-15",""
"584","ZZLatWithIsom (§2.14)","ZZLatWithIsom delegated attributes","scale","done","julia_doc/test_zzlat_with_isom.jl::""scale/norm: A2 lattice scale and norm""","2026-02-15",""
"585","ZZLatWithIsom (§2.14)","ZZLatWithIsom delegated attributes","norm","done","julia_doc/test_zzlat_with_isom.jl::""scale/norm: A2 lattice scale and norm""","2026-02-15",""
"586","ZZLatWithIsom (§2.14)","ZZLatWithIsom delegated attributes","minimum","done","julia_doc/test_zzlat_with_isom.jl::""minimum: A2 lattice minimum""","2026-02-15",""
"587","ZZLatWithIsom (§2.14)","ZZLatWithIsom delegated attributes","genus","done","julia_doc/test_zzlat_with_isom.jl::""genus: returns ZZGenus with matching rank and det""","2026-02-15",""
"588","ZZLatWithIsom (§2.14)","ZZLatWithIsom delegated attributes","gram_matrix","done","julia_doc/test_zzlat_with_isom.jl::""gram_matrix: matches underlying lattice""","2026-02-15",""
"589","ZZLatWithIsom (§2.14)","ZZLatWithIsom delegated attributes","signature_tuple","done","julia_doc/test_zzlat_with_isom.jl::""signature_tuple: A2 is (2,0,0)""","2026-02-15",""
"590","ZZLatWithIsom (§2.14)","ZZLatWithIsom boolean predicates","is_integral","done","julia_doc/test_zzlat_with_isom.jl::""is_integral/is_even: A2 is integral and even""","2026-02-15",""
"591","ZZLatWithIsom (§2.14)","ZZLatWithIsom boolean predicates","is_even","done","julia_doc/test_zzlat_with_isom.jl::""is_integral/is_even: A2 is integral and even""","2026-02-15",""
"592","ZZLatWithIsom (§2.14)","ZZLatWithIsom boolean predicates","is_positive_definite","done","julia_doc/test_zzlat_with_isom.jl::""is_positive_definite/is_definite: A2 is positive definite""","2026-02-15",""
"593","ZZLatWithIsom (§2.14)","ZZLatWithIsom boolean predicates","is_definite","done","julia_doc/test_zzlat_with_isom.jl::""is_positive_definite/is_definite: A2 is positive definite""","2026-02-15",""
"594","ZZLatWithIsom (§2.14)","ZZLatWithIsom boolean predicates","is_unimodular","done","julia_doc/test_zzlat_with_isom.jl::""is_unimodular: A2 is not unimodular, E8 is""","2026-02-15",""
"595","ZZLatWithIsom (§2.14)","ZZLatWithIsom boolean predicates","is_primary","done","julia_doc/test_zzlat_with_isom.jl::""is_primary/is_elementary: A2 is 3-primary and 3-elementary""","2026-02-15",""
"596","ZZLatWithIsom (§2.14)","ZZLatWithIsom boolean predicates","is_elementary","done","julia_doc/test_zzlat_with_isom.jl::""is_primary/is_elementary: A2 is 3-primary and 3-elementary""","2026-02-15",""
"597","ZZLatWithIsom (§2.14)","ZZLatWithIsom type classification","is_of_type","done","julia_doc/test_zzlat_with_isom.jl::""is_of_type: roundtrip with type(Lf)""","2026-02-15",""
"598","ZZLatWithIsom (§2.14)","ZZLatWithIsom type classification","is_of_same_type","done","julia_doc/test_zzlat_with_isom.jl::""is_of_same_type: same vs different isometries""","2026-02-15",""
"599","ZZLatWithIsom (§2.14)","ZZLatWithIsom type classification","is_of_hermitian_type","done","julia_doc/test_zzlat_with_isom.jl::""is_of_hermitian_type: A2 with negation""","2026-02-15",""
"600","ZZLatWithIsom (§2.14)","ZZLatWithIsom type classification","hermitian_structure","done","julia_doc/test_zzlat_with_isom.jl::""hermitian_structure: roundtrip hermitian rank""","2026-02-15",""
"601","ZZLatWithIsom (§2.14)","ZZLatWithIsom type classification","trace_lattice_with_isometry","done","julia_doc/test_zzlat_with_isom.jl::""trace_lattice_with_isometry: roundtrip from hermitian""","2026-02-15",""
"602","ZZLatWithIsom (§2.14)","ZZLatWithIsom type classification","is_hermitian","done","julia_doc/test_zzlat_with_isom.jl::""is_hermitian: type dict check""","2026-02-15",""
"603","ZZLatWithIsom (§2.14)","ZZLatWithIsom kernel sublattices","kernel_lattice","done","julia_doc/test_zzlat_with_isom.jl::""kernel_lattice: cyclotomic polynomial variant""","2026-02-15","polynomial and integer index variants"
"604","ZZLatWithIsom (§2.14)","ZZLatWithIsom kernel sublattices","invariant_coinvariant_pair","done","julia_doc/test_zzlat_with_isom.jl::""invariant_coinvariant_pair: rank sum equals full rank""","2026-02-15",""
"605","ZZLatWithIsom (§2.14)","ZZLatWithIsom kernel sublattices","orthogonal_submodule","done","julia_doc/test_zzlat_with_isom.jl::""orthogonal_submodule: inner product with complement is zero""","2026-02-15",""
"606","ZZLatWithIsom (§2.14)","ZZLatWithIsom discriminant group","image_centralizer_in_Oq","done","julia_doc/test_zzlat_with_isom.jl::""image_centralizer_in_Oq: returns group and homomorphism""","2026-02-15",""
"607","ZZLatWithIsom (§2.14)","ZZLatWithIsom spinor norm","signatures","done","julia_doc/test_zzlat_with_isom.jl::""signatures: returns Dict for A2 with negation""","2026-02-15",""
"608","ZZLatWithIsom (§2.14)","ZZLatWithIsom spinor norm","rational_spinor_norm","done","julia_doc/test_zzlat_with_isom.jl::""rational_spinor_norm: well-defined for identity""","2026-02-15",""
"609","ZZLatWithIsom (§2.14)","ZZLatWithIsom enumeration","enumerate_classes_of_lattices_with_isometry","done","julia_doc/test_zzlat_with_isom_enumeration.jl::""enumerate_classes_of_lattices_with_isometry: A1 genus, m=2""","2026-02-15","A1 genus order 1 and 2 variants"
"610","ZZLatWithIsom (§2.14)","ZZLatWithIsom enumeration","representatives_of_hermitian_type","done","julia_doc/test_zzlat_with_isom_enumeration.jl::""representatives_of_hermitian_type: A2 genus, order 2""","2026-02-15",""
"611","ZZLatWithIsom (§2.14)","ZZLatWithIsom enumeration","admissible_triples","done","julia_doc/test_zzlat_with_isom_enumeration.jl::""admissible_triples: small genus""","2026-02-15",""
"612","ZZLatWithIsom (§2.14)","ZZLatWithIsom enumeration","is_admissible_triple","done","julia_doc/test_zzlat_with_isom_enumeration.jl::""is_admissible_triple: roundtrip from admissible_triples""","2026-02-15",""
"613","ZZLatWithIsom (§2.14)","ZZLatWithIsom enumeration","splitting","done","julia_doc/test_zzlat_with_isom_enumeration.jl::""splitting: generic splitting""","2026-02-15",""
"614","ZZLatWithIsom (§2.14)","ZZLatWithIsom enumeration","splitting_of_hermitian_type","done","julia_doc/test_zzlat_with_isom_enumeration.jl::""splitting_of_hermitian_type: A2 negation""","2026-02-15",""
"615","ZZLatWithIsom (§2.14)","ZZLatWithIsom enumeration","splitting_of_prime_power","done","julia_doc/test_zzlat_with_isom_enumeration.jl::""splitting_of_prime_power: small example""","2026-02-15",""
"616","ZZLatWithIsom (§2.14)","ZZLatWithIsom enumeration","splitting_of_pure_mixed_prime_power","done","julia_doc/test_zzlat_with_isom_enumeration.jl::""splitting_of_pure_mixed_prime_power: small example""","2026-02-15",""
"617","ZZLatWithIsom (§2.14)","ZZLatWithIsom enumeration","splitting_of_mixed_prime_power","done","julia_doc/test_zzlat_with_isom_enumeration.jl::""splitting_of_mixed_prime_power: small example""","2026-02-15",""
"618","Equivariant primitive extensions (§2.15)","Equivariant primitive extensions","equivariant_primitive_extensions","done","julia_doc/test_equivariant_primitive_extensions.jl::""equivariant_primitive_extensions: A1+A1 with identity""","2026-02-15","identity and negation variants"
"619","Equivariant primitive extensions (§2.15)","Equivariant primitive extensions","admissible_equivariant_primitive_extensions","done","julia_doc/test_equivariant_primitive_extensions.jl::""admissible_equivariant_primitive_extensions: from admissible triple""","2026-02-15",""
"620","ZZLatWithIsom (§2.14)","ZZLatWithIsom boolean predicates","is_primary_with_prime","done","julia_doc/test_zzlat_with_isom.jl::""is_primary_with_prime/is_elementary_with_prime: A2 returns (true, 3)""","2026-02-15",""
"621","ZZLatWithIsom (§2.14)","ZZLatWithIsom boolean predicates","is_elementary_with_prime","done","julia_doc/test_zzlat_with_isom.jl::""is_primary_with_prime/is_elementary_with_prime: A2 returns (true, 3)""","2026-02-15",""
"622","ZZLatWithIsom (§2.14)","ZZLatWithIsom boolean predicates","is_negative_definite","done","julia_doc/test_zzlat_with_isom.jl::""is_negative_definite: A2 is not negative definite""","2026-02-15",""
"623","ZZLatWithIsom (§2.14)","ZZLatWithIsom discriminant group","discriminant_representation","done","julia_doc/test_zzlat_with_isom.jl::""discriminant_representation: returns homomorphism""","2026-02-15",""
